,white alone,black alone,hispanic (any race),asian alone
....Total,"100,113","17,019","17,336","6,750"
"Under $5,000","2,739","1,186",676,280
"$5,000 to $9,999","2,154",883,557,107
"$10,000 to $14,999","4,142","1,274",884,172
"$15,000 to $19,999","4,494","1,163",904,214
"$20,000 to $24,999","4,579","1,070","1,022",217
"$25,000 to $29,999","4,333",963,980,215
"$30,000 to $34,999","4,575","1,103","1,001",206
"$35,000 to $39,999","4,354",948,937,218
"$40,000 to $44,999","3,947",763,820,222
"$45,000 to $49,999","3,975",657,848,219
"$50,000 to $54,999","4,047",697,798,239
"$55,000 to $59,999","3,308",555,623,172
"$60,000 to $64,999","3,502",546,703,245
"$65,000 to $69,999","2,981",460,591,148
"$70,000 to $74,999","3,023",453,540,208
"$75,000 to $79,999","3,048",394,500,214
"$80,000 to $84,999","2,909",371,422,199
"$85,000 to $89,999","2,513",302,446,139
"$90,000 to $94,999","2,266",264,366,147
"$95,000 to $99,999","2,199",254,334,141
"$100,000 to $104,999","2,187",265,281,171
"$105,000 to $109,999","1,804",202,260,119
"$110,000 to $114,999","1,895",186,254,147
"$115,000 to $119,999","1,616",169,218,105
"$120,000 to $124,999","1,650",189,233,117
"$125,000 to $129,999","1,381",138,169,111
"$130,000 to $134,999","1,249",169,160,100
"$135,000 to $139,999","1,171",113,158,88
"$140,000 to $144,999","1,133",104,141,85
"$145,000 to $149,999",956,66,116,85
"$150,000 to $154,999","1,235",103,121,136
"$155,000 to $159,999",831,56,90,101
"$160,000 to $164,999",899,83,95,95
"$165,000 to $169,999",642,58,60,60
"$170,000 to $174,999",738,50,63,65
"$175,000 to $179,999",705,58,66,77
"$180,000 to $184,999",604,47,70,64
"$185,000 to $189,999",597,35,56,36
"$190,000 to $194,999",596,33,44,59
"$195,000 to $199,999",422,35,57,43
"$200,000 and over","8,712",555,672,964